,name,term,rate,rolled_rate,roll,notional,date
28,eur 4Y7Y,4Y7Y,2.521628156368726,2.5149555294400936,-0.0066726269286325746,8600000.0,2024-04-02
29,eur 6Y7Y,6Y7Y,2.6925518893329303,2.6860226305153794,-0.006529258817550954,9000000.0,2024-04-02
30,eur 8Y3Y,8Y3Y,2.7238304670591185,2.717440867632197,-0.006389599426921411,20900000.0,2024-04-02
31,eur 4Y9Y,4Y9Y,2.593798114163925,2.587452260243648,-0.0063458539202772,6900000.0,2024-04-02
32,eur 3Y7Y,3Y7Y,2.440850070014111,2.434544133997685,-0.006305936016425928,8400000.0,2024-04-02
33,eur 7Y4Y,7Y4Y,2.6713239392772605,2.6651219508837407,-0.0062019883935198195,15500000.0,2024-04-02
34,eur 5Y9Y,5Y9Y,2.667062959399358,2.661015310216635,-0.006047649182722825,7000000.0,2024-04-02
35,eur 4Y2Y,4Y2Y,2.2836184039000242,2.2775715584770966,-0.00604684542292766,28400000.0,2024-04-02
36,eur 8Y5Y,8Y5Y,2.7828558368442646,2.776873023746296,-0.005982813097968442,12900000.0,2024-04-02
37,eur 7Y6Y,7Y6Y,2.736339580801774,2.7304162588909526,-0.005923321910821233,10600000.0,2024-04-02
38,eur 6Y8Y,6Y8Y,2.71369047831292,2.707901460379209,-0.005789017933711005,8000000.0,2024-04-02
39,eur 4Y10Y,4Y10Y,2.618770816391379,2.6129849449811973,-0.00578587141018172,6200000.0,2024-04-02
40,eur 7Y1Y,7Y1Y,2.5224504033631896,2.51675709177992,-0.0056933115832698,59900000.0,2024-04-02
41,eur 3Y9Y,3Y9Y,2.5159567135741843,2.510265369505091,-0.005691344069093329,6700000.0,2024-04-02
42,eur 5Y10Y,5Y10Y,2.685663427447048,2.6801477765738078,-0.00551565087324013,6400000.0,2024-04-02
43,eur 9Y2Y,9Y2Y,2.772225272693644,2.766875634174438,-0.005349638519205779,31800000.0,2024-04-02
44,eur 11Y2Y,11Y2Y,2.8777923972649835,2.8724521443828643,-0.005340252882119145,33400000.0,2024-04-02
45,eur 4Y11Y,4Y11Y,2.639243311175198,2.633915370283757,-0.005327940891441063,5800000.0,2024-04-02
46,eur 3Y6Y,3Y6Y,2.3877132240344183,2.3824288116180004,-0.005284412416417972,9700000.0,2024-04-02
47,eur 6Y9Y,6Y9Y,2.730212299194416,2.725000401300274,-0.005211897894142226,7200000.0,2024-04-02
48,eur 3Y10Y,3Y10Y,2.5480124505210235,2.5428027606059658,-0.005209689915057769,6100000.0,2024-04-02
49,eur 3Y8Y,3Y8Y,2.476068893014716,2.4708644503978756,-0.005204442616840499,7400000.0,2024-04-02
50,eur 9Y4Y,9Y4Y,2.8237353924261295,2.8185706209885164,-0.005164771437613069,16300000.0,2024-04-02
51,eur 7Y7Y,7Y7Y,2.7551051881185695,2.749958951471362,-0.0051462366472074805,9200000.0,2024-04-02
52,eur 8Y6Y,8Y6Y,2.7978641858068545,2.79280924850919,-0.005054937297664264,10900000.0,2024-04-02
53,eur 3Y11Y,3Y11Y,2.574178080185793,2.5693858501260642,-0.00479223005972873,5600000.0,2024-04-02
54,eur 3Y5Y,3Y5Y,2.3421402487767438,2.3375352739658584,-0.004604974810885398,11500000.0,2024-04-02
55,eur 7Y8Y,7Y8Y,2.7692589261166587,2.7646972217284884,-0.0045617043881702735,8200000.0,2024-04-02
56,eur 3Y12Y,3Y12Y,2.5960562520425365,2.5916117684680318,-0.004444483574504776,5200000.0,2024-04-02
57,eur 8Y7Y,8Y7Y,2.8086564648565986,2.804266568318792,-0.004389896537806415,9400000.0,2024-04-02
58,eur 2Y8Y,2Y8Y,2.412856836247819,2.4084792339868795,-0.004377602260939639,7300000.0,2024-04-02
59,eur 3Y4Y,3Y4Y,2.2996666773711603,2.2953101371215463,-0.0043565402496139605,14200000.0,2024-04-02
60,eur 9Y5Y,9Y5Y,2.834190758218121,2.829994601506393,-0.004196156711728349,13200000.0,2024-04-02
61,eur 2Y10Y,2Y10Y,2.484642578873794,2.4804682633595925,-0.004174315514201332,6000000.0,2024-04-02
62,eur 2Y11Y,2Y11Y,2.5158957537138527,2.5120352854764905,-0.0038604682373621912,5500000.0,2024-04-02
63,eur 4Y1Y,4Y1Y,2.2355133168113435,2.2316708879641776,-0.003842428847165902,56300000.0,2024-04-02
64,eur 11Y3Y,11Y3Y,2.878421132952283,2.8748083640571194,-0.0036127688951634873,22600000.0,2024-04-02
65,eur 2Y9Y,2Y9Y,2.446570394698945,2.4429693749094747,-0.00360101978947025,6600000.0,2024-04-02
66,eur 2Y12Y,2Y12Y,2.541868096462889,2.5382903580988074,-0.003577738364081373,5100000.0,2024-04-02
67,eur 9Y6Y,9Y6Y,2.8412076750923836,2.8376597887274078,-0.0035478863649758274,11200000.0,2024-04-02
68,eur 10Y2Y,10Y2Y,2.8130418115612024,2.809684931306374,-0.003356880254828276,32600000.0,2024-04-02
69,eur 2Y13Y,2Y13Y,2.5639095945348216,2.560570579007814,-0.0033390155270076605,4800000.0,2024-04-02
70,eur 2Y7Y,2Y7Y,2.3642462280356327,2.360979431427131,-0.0032667966085018207,8200000.0,2024-04-02
71,eur 4Y12Y,4Y12Y,2.6315410115542957,2.6286316385838835,-0.0029093729704121607,5300000.0,2024-04-02
72,eur 5Y11Y,5Y11Y,2.6734869641512926,2.670661469051913,-0.0028254950993797934,5900000.0,2024-04-02
73,eur 11Y4Y,11Y4Y,2.8787916847230446,2.876046477220005,-0.0027452075030396372,17200000.0,2024-04-02
74,eur 4Y13Y,4Y13Y,2.625019674599017,2.622299804808924,-0.002719869790093199,5000000.0,2024-04-02
75,eur 5Y12Y,5Y12Y,2.6633311354172626,2.660708341629712,-0.0026227937875504814,5500000.0,2024-04-02
76,eur 3Y3Y,3Y3Y,2.251008442700012,2.248404542873136,-0.0026038998268758107,18700000.0,2024-04-02
77,eur 4Y14Y,4Y14Y,2.6194301587173556,2.616872659618386,-0.002557499098969629,4700000.0,2024-04-02
78,eur 5Y13Y,5Y13Y,2.6547362834217605,2.6522849046616574,-0.00245137876010304,5100000.0,2024-04-02
79,eur 4Y15Y,4Y15Y,2.6145856383227293,2.6121688275447963,-0.0024168107779329873,4400000.0,2024-04-02
80,eur 2Y6Y,2Y6Y,2.323103338667803,2.32070429903623,-0.0023990396315727303,9500000.0,2024-04-02
81,eur 10Y3Y,10Y3Y,2.8349200276534425,2.8325567054540675,-0.002363322199375073,21900000.0,2024-04-02
82,eur 5Y14Y,5Y14Y,2.647367561795588,2.6450630489081624,-0.0023045128874255028,4800000.0,2024-04-02
83,eur 3Y13Y,3Y13Y,2.5918459772258604,2.5895457155701305,-0.0023002616557299405,4900000.0,2024-04-02
84,eur 4Y16Y,4Y16Y,2.6103352244592095,2.6080421244073375,-0.002293100051871999,4200000.0,2024-04-02
85,eur 6Y10Y,6Y10Y,2.712718828519373,2.7104810233500074,-0.0022378051693654477,6600000.0,2024-04-02
86,eur 5Y15Y,5Y15Y,2.6409594149150797,2.6387828140476106,-0.0021766008674690696,4600000.0,2024-04-02
87,eur 3Y14Y,3Y14Y,2.5882395519083015,2.586075953410728,-0.0021635984975736378,4600000.0,2024-04-02
88,eur 6Y11Y,6Y11Y,2.6984180659082972,2.696358367937346,-0.002059697970951291,6000000.0,2024-04-02
89,eur 3Y15Y,3Y15Y,2.5851096286116713,2.583064802780401,-0.0020448258312701917,4300000.0,2024-04-02
90,eur 3Y16Y,3Y16Y,2.5823717222030838,2.5804307801462114,-0.0019409420568723412,4100000.0,2024-04-02
