date,ccy,term,rate,direction,pnl,close_date
2023-01-03,gbp,9Y1Y,3.393333224853854,-1,71777.67677122392,2023-02-01
2023-01-03,gbp,1Y3Y,4.007211526555959,1,-268646.2902502129,2023-02-01
2023-01-03,gbp,1Y2Y,4.144757180536078,1,-293875.8157658203,2023-02-01
2023-01-03,gbp,1Y1Y,4.360937194591011,1,-299438.950334229,2023-02-01
2023-02-01,gbp,8Y1Y,3.1686869252276484,-1,-167979.23483340463,2023-03-01
2023-02-01,gbp,8Y2Y,3.21202664951593,-1,-174336.91020068064,2023-03-01
2023-02-01,gbp,9Y1Y,3.2565831974519828,-1,-180857.64564296583,2023-03-01
2023-02-01,gbp,1Y3Y,3.4453323971356595,1,298080.58349943,2023-03-01
2023-02-01,gbp,1Y2Y,3.5224838772477707,1,344934.68973101035,2023-03-01
2023-02-01,gbp,1Y1Y,3.707612055500271,1,376860.314668281,2023-03-01
2023-03-01,gbp,9Y1Y,3.6282931990972984,-1,269187.52398507006,2023-04-03
2023-03-01,gbp,8Y2Y,3.5688823969071346,-1,260653.87592113498,2023-04-03
2023-03-01,gbp,8Y1Y,3.5114839877764443,-1,252199.162194362,2023-04-03
2023-03-01,gbp,1Y3Y,4.0102506166052,1,-202720.07894316313,2023-04-03
2023-03-01,gbp,1Y2Y,4.177182586924271,1,-225480.79536807977,2023-04-03
2023-03-01,gbp,1Y1Y,4.419090804762655,1,-255420.10877731335,2023-04-03
2023-04-03,gbp,9Y1Y,3.096927580754194,-1,-158574.53100985853,2023-05-02
2023-04-03,gbp,8Y2Y,3.0543451452695116,-1,-150818.06630822126,2023-05-02
2023-04-03,gbp,8Y1Y,3.0137592356644465,-1,-143413.69493484547,2023-05-02
2023-04-03,gbp,1Y3Y,3.577058945999826,1,132454.56744627893,2023-05-02
2023-04-03,gbp,1Y2Y,3.6930101149796104,1,132921.47656227282,2023-05-02
2023-04-03,gbp,1Y1Y,3.8556685411603064,1,152846.78152205356,2023-05-02
2023-05-02,gbp,9Y1Y,3.424262374494136,-1,-121852.9880347099,2023-06-01
2023-05-02,gbp,8Y2Y,3.364120163454575,-1,-143710.0132307676,2023-06-01
