name,term,rate,rolled_rate,roll,date
eur 6Y8Y,6Y8Y,1.874773052,1.868844521,0.005928531,01/08/2022
eur 6Y9Y,6Y9Y,1.887670963,1.882353361,0.005317601,01/08/2022
eur 6Y10Y,6Y10Y,1.854835798,1.853673542,0.001162256,01/08/2022
eur 6Y11Y,6Y11Y,1.827876298,1.826816753,0.001059544,01/08/2022
eur 6Y12Y,6Y12Y,1.805239486,1.804265253,0.000974233,01/08/2022
eur 6Y13Y,6Y13Y,1.786104121,1.785201319,0.000902801,01/08/2022
eur 6Y14Y,6Y14Y,1.769679107,1.76883752,0.000841587,01/08/2022
eur 6Y15Y,6Y15Y,1.736715989,1.737507098,-0.000791109,01/08/2022
eur 6Y16Y,6Y16Y,1.708008502,1.708768043,-0.000759541,01/08/2022
eur 6Y17Y,6Y17Y,1.682528561,1.683258912,-0.000730351,01/08/2022
eur 6Y18Y,6Y18Y,1.659820309,1.660523719,-0.00070341,01/08/2022
eur 6Y19Y,6Y19Y,1.639456202,1.640134778,-0.000678577,01/08/2022
eur 6Y20Y,6Y20Y,1.615191282,1.61633398,-0.001142698,01/08/2022
eur 6Y21Y,6Y21Y,1.593415344,1.59452062,-0.001105276,01/08/2022
eur 6Y22Y,6Y22Y,1.573563261,1.57463372,-0.001070459,01/08/2022
eur 6Y23Y,6Y23Y,1.555344967,1.556382885,-0.001037918,01/08/2022
eur 6Y24Y,6Y24Y,1.538567914,1.53957541,-0.001007497,01/08/2022
eur 7Y1Y,7Y1Y,1.692664059,1.678607365,0.014056695,01/08/2022
eur 7Y2Y,7Y2Y,1.731380979,1.721001845,0.010379134,01/08/2022
eur 7Y3Y,7Y3Y,1.784197836,1.773863767,0.010334069,01/08/2022
eur 7Y4Y,7Y4Y,1.84801757,1.836978712,0.011038859,01/08/2022
eur 7Y5Y,7Y5Y,1.901426051,1.891239267,0.010186784,01/08/2022
eur 7Y6Y,7Y6Y,1.917037365,1.910161611,0.006875754,01/08/2022
eur 7Y7Y,7Y7Y,1.928218915,1.922269389,0.005949525,01/08/2022
eur 7Y8Y,7Y8Y,1.936624383,1.931370346,0.005254036,01/08/2022
eur 7Y9Y,7Y9Y,1.894771633,1.89417569,0.000595943,01/08/2022
eur 7Y10Y,7Y10Y,1.861167111,1.86063524,0.000531871,01/08/2022
eur 7Y11Y,7Y11Y,1.833462785,1.832982309,0.000480476,01/08/2022
eur 7Y12Y,7Y12Y,1.81039988,1.809961195,0.000438685,01/08/2022
eur 7Y13Y,7Y13Y,1.790858188,1.790454676,0.000403512,01/08/2022
eur 7Y14Y,7Y14Y,1.753837921,1.755173514,-0.001335593,01/08/2022
eur 7Y15Y,7Y15Y,1.721907542,1.723177658,-0.001270116,01/08/2022
eur 7Y16Y,7Y16Y,1.693805763,1.695016822,-0.001211059,01/08/2022
eur 7Y17Y,7Y17Y,1.66894784,1.670105544,-0.001157704,01/08/2022
eur 7Y18Y,7Y18Y,1.646804247,1.647913616,-0.001109369,01/08/2022
eur 7Y19Y,7Y19Y,1.620682559,1.622265319,-0.00158276,01/08/2022
eur 7Y20Y,7Y20Y,1.597366927,1.598891095,-0.001524168,01/08/2022
eur 7Y21Y,7Y21Y,1.57621471,1.577684924,-0.001470215,01/08/2022
eur 7Y22Y,7Y22Y,1.556889562,1.558309818,-0.001420256,01/08/2022
eur 7Y23Y,7Y23Y,1.539165793,1.540539719,-0.001373926,01/08/2022
eur 8Y1Y,8Y1Y,1.770797253,1.764158919,0.006638334,01/08/2022
eur 8Y2Y,8Y2Y,1.83110691,1.822674649,0.008432261,01/08/2022
eur 8Y3Y,8Y3Y,1.901718769,1.89171323,0.010005539,01/08/2022
eur 8Y4Y,8Y4Y,1.956115728,1.946930281,0.009185446,01/08/2022
eur 8Y5Y,8Y5Y,1.964542625,1.959175958,0.005366667,01/08/2022
eur 8Y6Y,8Y6Y,1.970182458,1.96566702,0.004515438,01/08/2022
eur 8Y7Y,8Y7Y,1.974224887,1.97031837,0.003906517,01/08/2022
eur 8Y8Y,8Y8Y,1.922296364,1.923527981,-0.001231617,01/08/2022
eur 8Y9Y,8Y9Y,1.881755671,1.882872823,-0.001117151,01/08/2022
eur 8Y10Y,8Y10Y,1.849076682,1.850099516,-0.001022833,01/08/2022
eur 8Y11Y,8Y11Y,1.82237002,1.823314435,-0.000944415,01/08/2022
eur 8Y12Y,8Y12Y,1.800085633,1.800964219,-0.000878586,01/08/2022
eur 8Y13Y,8Y13Y,1.759184436,1.761864946,-0.00268051,01/08/2022
