point,t1,t2,aud,cad,nok,eur,gbp,jpy,nzd,sek,usd
10y12y,10,22,4.493467857233668,3.658288619514326,3.055853858341583,2.493458171786169,3.885821077960689,1.9821127682615254,4.780136220684322,2.3846154948374125,3.655217548166078
10y13y,10,23,4.460151656103959,3.620770562105644,3.0196478959384048,2.4572345962445836,3.8761149155945187,1.9852622991196227,4.783883786466448,2.3458821446056524,3.6273144114499036
10y14y,10,24,4.426985631094993,3.5830270872508176,2.984100208811105,2.4227604532903575,3.865685364283738,1.9853121582475626,4.7853622292485465,2.3093916408098165,3.5990906199620842
10y15y,10,25,4.394648837213132,3.5463074927476015,2.949340970495678,2.3902685437694853,3.854467749917343,1.983292366482521,4.783878893667907,2.276059882501293,3.571468696392561
10y16y,10,26,4.3636504842844825,3.511522984987472,2.915444149267006,2.3598853655590455,3.842469755849584,1.9800745352452687,4.77907718752409,2.2464592330374957,3.5451109839833044
10y17y,10,27,4.333915246529947,3.4785391738098226,2.882255411422426,2.3312469533764317,3.8299262803333303,1.9762203187778087,4.771701407517131,2.219946492844429,3.5199135960375805
10y18y,10,28,4.305272057647776,3.4470333323817712,2.8495879615882282,2.303926845943883,3.817112557857902,1.9722068788117684,4.762683849160493,2.195684168563968,3.495628588899739
10y19y,10,29,4.277595303384733,3.416745386229416,2.817278145090111,2.2775562008641,3.8042895830623933,1.9684986213629982,4.752879689718036,2.1729345062330556,3.472047311239378
10y20y,10,30,4.250793462882002,3.3874622476467033,2.785179651547538,2.251809375936278,3.7917076840838613,1.965550388007442,4.743086291106167,2.151034547438819,3.4489905782745938
11y1y,11,12,4.668987554654986,3.791443976909558,3.38977887564406,2.783576013428191,3.8993768806478744,1.738926166586833,4.67742779222277,2.675034475174603,3.758888561924436
11y2y,11,13,4.678212114916902,3.81137733055327,3.3545678469387545,2.780859728386064,3.9191481499905887,1.7759474134865127,4.709516307732004,2.664757973477199,3.7686315698818507
11y3y,11,14,4.6800294920703225,3.8236615335324347,3.3184246601125422,2.76938995917183,3.9333960995939825,1.8125674122507687,4.735940672705334,2.6484195727984288,3.774354354805529
11y4y,11,15,4.673446855909984,3.826726631096885,3.281593840172264,2.7475465673392847,3.9407291795528043,1.8494656126677624,4.755295054961993,2.625284523065941,3.774769448518003
