date,ccy,term,rate,direction,exit_rate,pnl,close_date
2022-04-01,gbp,3Y1Y,1.735365804475064,1,2.0561683570361255,160401.27628053082,2022-05-03
2022-04-01,gbp,2Y2Y,1.8834097109961092,1,2.168540560194115,142565.42459900278,2022-05-03
2022-04-01,gbp,2Y1Y,2.0293241228787062,1,2.2774667780887734,124071.32760503358,2022-05-03
2022-05-03,gbp,1Y1Y,2.6393761796842052,-1,2.806300894868717,-83462.35759225597,2022-06-01
2022-05-03,gbp,9Y1Y,1.8288637294231664,-1,2.10318284837485,-137159.5594758417,2022-06-01
2022-05-03,gbp,8Y2Y,1.8071292799618388,-1,2.041152012396074,-117011.36621711751,2022-06-01
2022-05-03,gbp,2Y3Y,2.0707283792067117,1,2.3210180991771976,125144.85998524293,2022-06-01
2022-05-03,gbp,2Y2Y,2.144068375512668,1,2.3952598921397903,125595.75831356116,2022-06-01
2022-05-03,gbp,2Y1Y,2.246417524000666,1,2.5053839161490288,129483.19607418135,2022-06-01
2022-06-01,gbp,9Y1Y,2.11393855689751,-1,2.229367590201555,-57714.51665202254,2022-07-01
2022-06-01,gbp,8Y2Y,2.0472529480457875,-1,2.1068130957526767,-29780.07385344461,2022-07-01
2022-06-01,gbp,7Y3Y,2.017948293162472,-1,2.067406418535996,-24729.062686762005,2022-07-01
2022-06-01,gbp,3Y1Y,2.265304613790398,1,2.230360346702742,-17472.133543827927,2022-07-01
2022-06-01,gbp,2Y2Y,2.3734648270033407,1,2.272602278963699,-50431.27401982095,2022-07-01
2022-06-01,gbp,2Y1Y,2.4795139842999303,1,2.3139226187509188,-82795.68277450577,2022-07-01
2022-07-01,gbp,9Y1Y,2.251901384351605,-1,1.9345584232498438,158671.48055088054,2022-08-01
2022-07-01,gbp,8Y2Y,2.1177093170912524,-1,1.8646653577509176,126521.97967016743,2022-08-01
2022-07-01,gbp,7Y3Y,2.0751255144989846,-1,1.8204399989492908,127342.75777484693,2022-08-01
2022-07-01,gbp,1Y3Y,2.3812593700890097,1,2.21246273992084,-84398.3150840848,2022-08-01
2022-07-01,gbp,1Y2Y,2.4573761954670883,1,2.338562978923694,-59406.60827169708,2022-08-01
2022-07-01,gbp,1Y1Y,2.6146139199824527,1,2.575137366926521,-19738.276527965892,2022-08-01
2022-08-01,gbp,9Y1Y,1.9468698668507316,-1,2.7453258780150334,-399228.0055821509,2022-09-01
2022-08-01,gbp,8Y2Y,1.873490573997359,-1,2.7021318987680845,-414320.6623853627,2022-09-01
2022-08-01,gbp,7Y3Y,1.827447394343202,-1,2.6682607674461085,-420406.6865514533,2022-09-01
2022-08-01,gbp,2Y1Y,2.0666876412253954,1,3.470240240891509,701776.2998330567,2022-09-01
2022-08-01,gbp,1Y2Y,2.307375057747289,1,3.847284271366111,769954.606809411,2022-09-01
2022-08-01,gbp,1Y1Y,2.54254463773159,1,4.208770876809498,833113.1195389541,2022-09-01
2022-09-01,gbp,9Y1Y,2.752521184588884,-1,3.5672486087320054,-407363.71207156073,2022-10-03
2022-09-01,gbp,8Y2Y,2.7082273225928755,-1,3.542152005354449,-416962.3413807868,2022-10-03
2022-09-01,gbp,8Y1Y,2.6649168206407388,-1,3.517791642656176,-426437.4110077187,2022-10-03
2022-09-01,gbp,1Y2Y,3.804976528999246,1,5.266246345843004,730634.9084218789,2022-10-03
2022-09-01,gbp,2Y2Y,3.1807511209260473,1,4.827958527331057,823603.7032025048,2022-10-03
2022-09-01,gbp,2Y1Y,3.4222470472824886,1,5.047852094161165,812802.5234393381,2022-10-03
2022-10-03,gbp,9Y1Y,3.5715932579186647,-1,3.2671524052697034,152220.42632448062,2022-11-01
2022-10-03,gbp,8Y2Y,3.5453280458119307,-1,3.2247160592241215,160305.9932939046,2022-11-01
2022-10-03,gbp,8Y1Y,3.5198344321181856,-1,3.184270967502787,167781.73230769933,2022-11-01
2022-10-03,gbp,3Y3Y,4.167837721831835,1,3.676454188779396,-245691.7665262195,2022-11-01
2022-10-03,gbp,3Y1Y,4.560475883534774,1,3.95948273797444,-300496.57278016675,2022-11-01
2022-10-03,gbp,5Y1Y,3.711406183984284,1,3.4072697543790973,-152068.21480259337,2022-11-01
2022-11-01,gbp,9Y1Y,3.2743438905543507,-1,2.8302597414574904,222042.07454843016,2022-12-01
2022-11-01,gbp,8Y2Y,3.2289530812455234,-1,2.7904323741517736,219260.3535468749,2022-12-01
2022-11-01,gbp,7Y3Y,3.20865086235961,-1,2.761010336910439,223820.26272458554,2022-12-01
2022-11-01,gbp,3Y1Y,3.93369292802881,1,3.40490272621683,-264395.10090598994,2022-12-01
2022-11-01,gbp,3Y2Y,3.779215679427644,1,3.293055226059279,-243080.2266841825,2022-12-01
2022-11-01,gbp,4Y1Y,3.619784910794443,1,3.1776535997867006,-221065.65550387124,2022-12-01
2022-12-01,gbp,9Y1Y,2.837095502148297,-1,3.38776777675323,-275336.13730246655,2023-01-03
2022-12-01,gbp,8Y2Y,2.7963599338151495,-1,3.3539806798143927,-278810.3729996216,2023-01-03
2022-12-01,gbp,8Y1Y,2.7565362799057307,-1,3.321642889013923,-282553.3045540962,2023-01-03
2022-12-01,gbp,2Y1Y,3.596675652816495,1,3.9439248683857686,173624.60778463684,2023-01-03
2022-12-01,gbp,1Y2Y,3.930024517846174,1,4.176801044787536,123388.26347068089,2023-01-03
2022-12-01,gbp,1Y1Y,4.248814766269775,1,4.401406678928022,76295.95632912345,2023-01-03
2023-01-03,gbp,8Y1Y,3.3280832628987054,-1,3.160266918514209,83908.17219224811,2023-02-01
2023-01-03,gbp,8Y2Y,3.3599852683918954,-1,3.2044844222596525,77750.42306612145,2023-02-01
2023-01-03,gbp,9Y1Y,3.393333224853854,-1,3.249777871311406,71777.67677122392,2023-02-01
2023-01-03,gbp,1Y3Y,4.007211526555959,1,3.469918946055533,-268646.2902502129,2023-02-01
2023-01-03,gbp,1Y2Y,4.144757180536078,1,3.557005549004437,-293875.8157658203,2023-02-01
2023-01-03,gbp,1Y1Y,4.360937194591011,1,3.762059293922553,-299438.950334229,2023-02-01
2023-02-01,gbp,8Y1Y,3.1686869252276484,-1,3.5046453948944576,-167979.23483340463,2023-03-01
2023-02-01,gbp,8Y2Y,3.21202664951593,-1,3.5607004699172915,-174336.91020068064,2023-03-01
2023-02-01,gbp,9Y1Y,3.2565831974519828,-1,3.6182984887379144,-180857.64564296583,2023-03-01
2023-02-01,gbp,1Y3Y,3.4453323971356595,1,4.0414935641345195,298080.58349943,2023-03-01
2023-02-01,gbp,1Y2Y,3.5224838772477707,1,4.212353256709791,344934.68973101035,2023-03-01
2023-02-01,gbp,1Y1Y,3.707612055500271,1,4.461332684836833,376860.314668281,2023-03-01
2023-03-01,gbp,9Y1Y,3.6282931990972984,-1,3.0899181511271583,269187.52398507006,2023-04-03
2023-03-01,gbp,8Y2Y,3.5688823969071346,-1,3.0475746450648646,260653.87592113498,2023-04-03
2023-03-01,gbp,8Y1Y,3.5114839877764443,-1,3.0070856633877203,252199.162194362,2023-04-03
2023-03-01,gbp,1Y3Y,4.0102506166052,1,3.6048104587188736,-202720.07894316313,2023-04-03
