,name,rate,rolled_rate,term
51,eur 1Y22Y,2.590421041305937,2.553578056994891,1Y22Y
52,eur 1Y23Y,2.575344730717419,2.557626337067499,1Y23Y
53,eur 1Y24Y,2.5616516394106834,2.5612700187814115,1Y24Y
54,eur 1Y25Y,2.5424720390221403,2.56460985195299,1Y25Y
55,eur 1Y26Y,2.5246715754771345,2.5406337748841237,1Y26Y
56,eur 1Y27Y,2.508109906747506,2.5182672899089424,1Y27Y
57,eur 1Y28Y,2.49274456082596,2.497465902060094,1Y28Y
58,eur 1Y29Y,2.4783410474665595,2.4779198969513674,1Y29Y
59,eur 2Y1Y,2.5167446105565485,2.514372450942559,2Y1Y
60,eur 2Y2Y,2.4624766326930563,2.4605111621309934,2Y2Y
61,eur 2Y3Y,2.4466459823032163,2.4450158962061446,2Y3Y
62,eur 2Y4Y,2.4542465611927438,2.452888975330695,2Y4Y
63,eur 2Y5Y,2.4717117646119284,2.470564522388378,2Y5Y
64,eur 2Y6Y,2.4935869091203067,2.4926071316164293,2Y6Y
65,eur 2Y7Y,2.5219710236236823,2.5211302833663205,2Y7Y
66,eur 2Y8Y,2.553418863411181,2.55269385996251,2Y8Y
67,eur 2Y9Y,2.580611357858721,2.5800287744749113,2Y9Y
68,eur 2Y10Y,2.6085668395252513,2.5954232674751747,2Y10Y
69,eur 2Y11Y,2.629914474856348,1.1697750895184311,2Y11Y
70,eur 2Y12Y,2.6477210444245265,2.0156216723901026,2Y12Y
71,eur 2Y13Y,2.662632038596879,2.666679190355312,2Y13Y
72,eur 2Y14Y,2.6555733964535357,3.1745869405474343,2Y14Y
73,eur 2Y15Y,2.6494452157715322,3.0182369913055687,2Y15Y
74,eur 2Y16Y,2.644114107469636,2.878177735130718,2Y16Y
75,eur 2Y17Y,2.6394101995659813,2.7510015493095663,2Y17Y
76,eur 2Y18Y,2.6351170280726364,2.634400227542486,2Y18Y
77,eur 2Y19Y,2.614356579210423,2.5288562828939414,2Y19Y
78,eur 2Y20Y,2.595626659198777,2.5346416832088994,2Y20Y
79,eur 2Y21Y,2.5785600305588963,2.5398904640068927,2Y21Y
80,eur 2Y22Y,2.563140064397039,2.5445944530841715,2Y22Y
81,eur 2Y23Y,2.548984196725752,2.5488881963582175,2Y23Y
82,eur 2Y24Y,2.5290557973427927,2.5526443404332504,2Y24Y
83,eur 2Y25Y,2.510671986810518,2.5276998402873256,2Y25Y
84,eur 2Y26Y,2.493533958332253,2.504381506749142,2Y26Y
85,eur 2Y27Y,2.4778029975748317,2.482927725898006,2Y27Y
86,eur 2Y28Y,2.4631683912154987,2.4629225622409345,2Y28Y
87,eur 3Y1Y,2.4070147745539017,2.4054643966279703,3Y1Y
88,eur 3Y2Y,2.4102578384213356,2.409011494490953,3Y2Y
89,eur 3Y3Y,2.4320551889385307,2.4310500609856116,3Y3Y
90,eur 3Y4Y,2.459743035393568,2.4589204984010724,3Y4Y
91,eur 3Y5Y,2.4884445379875757,2.487763282135422,3Y5Y
92,eur 3Y6Y,2.52274237498318,2.5221787032031906,3Y6Y
93,eur 3Y7Y,2.5590341333713,2.5585679629611295,3Y7Y
94,eur 3Y8Y,2.5893712914695977,2.5890084351508507,3Y8Y
95,eur 3Y9Y,2.620052982926493,2.6055556529043593,3Y9Y
